confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,number,number_suffix,pk,valueset_pk
,we,,,Starostin-2007-110-1,{},,мы [russian],1,,5973,5973
,two,,,Starostin-2007-110-2,{},,два [russian],2,,5974,5974
,I,,,Starostin-2007-110-3,{},,я [russian],3,,5975,5975
,eye,,,Starostin-2007-110-4,{},,глаз [russian],4,,5976,5976
,thou,,,Starostin-2007-110-5,{},,ты [russian],5,,5977,5977
,who,,,Starostin-2007-110-6,{},,кто [russian],6,,5978,5978
,fire,,,Starostin-2007-110-7,{},,огонь [russian],7,,5979,5979
,tongue,,,Starostin-2007-110-8,{},,язык [russian],8,,5980,5980
,stone,,,Starostin-2007-110-9,{},,камень [russian],9,,5981,5981
,name,,,Starostin-2007-110-10,{},,имя [russian],10,,5982,5982
,hand,,,Starostin-2007-110-11,{},,рука [russian],11,,5983,5983
,what,,,Starostin-2007-110-12,{},,что [russian],12,,5984,5984
,die,,,Starostin-2007-110-13,{},,умирать [russian],13,,5985,5985
,heart,,,Starostin-2007-110-14,{},,сердце [russian],14,,5986,5986
,drink,,,Starostin-2007-110-15,{},,пить [russian],15,,5987,5987
,dog,,,Starostin-2007-110-16,{},,собака [russian],16,,5988,5988
,louse,,,Starostin-2007-110-17,{},,вошь [russian],17,,5989,5989
,moon,,,Starostin-2007-110-18,{},,луна [russian],18,,5990,5990
,claw (nail),,,Starostin-2007-110-19,{},,ноготь [russian],19,,5991,5991
,blood,,,Starostin-2007-110-20,{},,кровь [russian],20,,5992,5992
,one,,,Starostin-2007-110-21,{},,один [russian],21,,5993,5993
,tooth,,,Starostin-2007-110-22,{},,зуб [russian],22,,5994,5994
,new,,,Starostin-2007-110-23,{},,новый [russian],23,,5995,5995
,dry,,,Starostin-2007-110-24,{},,сухой [russian],24,,5996,5996
,liver,,,Starostin-2007-110-25,{},,печень [russian],25,,5997,5997
,eat,,,Starostin-2007-110-26,{},,есть [russian],26,,5998,5998
,tail,,,Starostin-2007-110-27,{},,хвост [russian],27,,5999,5999
,this,,,Starostin-2007-110-28,{},,этот [russian],28,,6000,6000
,hair,,,Starostin-2007-110-29,{},,волос [russian],29,,6001,6001
,water,,,Starostin-2007-110-30,{},,вода [russian],30,,6002,6002
,nose,,,Starostin-2007-110-31,{},,нос [russian],31,,6003,6003
,not,,,Starostin-2007-110-32,{},,не [russian],32,,6004,6004
,mouth,,,Starostin-2007-110-33,{},,рот [russian],33,,6005,6005
,full,,,Starostin-2007-110-34,{},,полный [russian],34,,6006,6006
,ear,,,Starostin-2007-110-35,{},,ухо [russian],35,,6007,6007
,that,,,Starostin-2007-110-36,{},,тот [russian],36,,6008,6008
,bird,,,Starostin-2007-110-37,{},,птица [russian],37,,6009,6009
,bone,,,Starostin-2007-110-38,{},,кость [russian],38,,6010,6010
,sun,,,Starostin-2007-110-39,{},,солнце [russian],39,,6011,6011
,smoke,,,Starostin-2007-110-40,{},,дым [russian],40,,6012,6012
,stand,,,Starostin-2007-110-41,{},,стоять [russian],41,,6013,6013
,tree,,,Starostin-2007-110-42,{},,дерево [russian],42,,6014,6014
,ashes,,,Starostin-2007-110-43,{},,пепел [russian],43,,6015,6015
,give,,,Starostin-2007-110-44,{},,давать [russian],44,,6016,6016
,rain,,,Starostin-2007-110-45,{},,дождь [russian],45,,6017,6017
,star,,,Starostin-2007-110-46,{},,звесда [russian],46,,6018,6018
,fish,,,Starostin-2007-110-47,{},,рыба [russian],47,,6019,6019
,neck,,,Starostin-2007-110-48,{},,шея [russian],48,,6020,6020
,breast,,,Starostin-2007-110-49,{},,грудь [russian],49,,6021,6021
,leaf,,,Starostin-2007-110-50,{},,лист [russian],50,,6022,6022
,come,,,Starostin-2007-110-51,{},,приходить [russian],51,,6023,6023
,kill,,,Starostin-2007-110-52,{},,убивать [russian],52,,6024,6024
,foot,,,Starostin-2007-110-53,{},,нога [russian],53,,6025,6025
,sit,,,Starostin-2007-110-54,{},,сидеть [russian],54,,6026,6026
,root,,,Starostin-2007-110-55,{},,корень [russian],55,,6027,6027
,thin,,,Starostin-2007-110-56,{},,тонкий [russian],56,,6028,6028
,horn,,,Starostin-2007-110-57,{},,рог [russian],57,,6029,6029
,fly,,,Starostin-2007-110-58,{},,лететь [russian],58,,6030,6030
,hear,,,Starostin-2007-110-59,{},,слышать [russian],59,,6031,6031
,skin,,,Starostin-2007-110-60,{},,кожа [russian],60,,6032,6032
,long,,,Starostin-2007-110-61,{},,длинний [russian],61,,6033,6033
,worm,,,Starostin-2007-110-62,{},,червь [russian],62,,6034,6034
,meat,,,Starostin-2007-110-63,{},,мясо [russian],63,,6035,6035
,road,,,Starostin-2007-110-64,{},,дорога [russian],64,,6036,6036
,know,,,Starostin-2007-110-65,{},,знать [russian],65,,6037,6037
,salt,,,Starostin-2007-110-66,{},,соль [russian],66,,6038,6038
,say,,,Starostin-2007-110-67,{},,сказать [russian],67,,6039,6039
,egg,,,Starostin-2007-110-68,{},,яйцо [russian],68,,6040,6040
,seed,,,Starostin-2007-110-69,{},,семя [russian],69,,6041,6041
,knee,,,Starostin-2007-110-70,{},,колено [russian],70,,6042,6042
,black,,,Starostin-2007-110-71,{},,черный [russian],71,,6043,6043
,head,,,Starostin-2007-110-72,{},,голова [russian],72,,6044,6044
,sleep,,,Starostin-2007-110-73,{},,спать [russian],73,,6045,6045
,burn,,,Starostin-2007-110-74,{},,жечь [russian],74,,6046,6046
,earth,,,Starostin-2007-110-75,{},,земля [russian],75,,6047,6047
,year,,,Starostin-2007-110-76,{},,год [russian],76,,6048,6048
,feather,,,Starostin-2007-110-77,{},,перо [russian],77,,6049,6049
,swim,,,Starostin-2007-110-78,{},,плавать [russian],78,,6050,6050
,white,,,Starostin-2007-110-79,{},,белый [russian],79,,6051,6051
,bite,,,Starostin-2007-110-80,{},,кусать [russian],80,,6052,6052
,fat,,,Starostin-2007-110-81,{},,жир [russian],81,,6053,6053
,man,,,Starostin-2007-110-82,{},,мужчина [russian],82,,6054,6054
,person,,,Starostin-2007-110-83,{},,человек [russian],83,,6055,6055
,all,,,Starostin-2007-110-84,{},,весь [russian],84,,6056,6056
,snake,,,Starostin-2007-110-85,{},,змея [russian],85,,6057,6057
,night,,,Starostin-2007-110-86,{},,ночь [russian],86,,6058,6058
,see,,,Starostin-2007-110-87,{},,видеть [russian],87,,6059,6059
,heavy,,,Starostin-2007-110-88,{},,тяжелый [russian],88,,6060,6060
,walk(go),,,Starostin-2007-110-89,{},,идти [russian],89,,6061,6061
,warm,,,Starostin-2007-110-90,{},,теплый [russian],90,,6062,6062
,red,,,Starostin-2007-110-91,{},,красный [russian],91,,6063,6063
,cold,,,Starostin-2007-110-92,{},,холодный [russian],92,,6064,6064
,woman,,,Starostin-2007-110-93,{},,женщина [russian],93,,6065,6065
,round,,,Starostin-2007-110-94,{},,круглый [russian],94,,6066,6066
,near,,,Starostin-2007-110-95,{},,блиский [russian],95,,6067,6067
,yellow,,,Starostin-2007-110-96,{},,желтый [russian],96,,6068,6068
,lie,,,Starostin-2007-110-97,{},,лежать [russian],97,,6069,6069
,green,,,Starostin-2007-110-98,{},,зеленый [russian],98,,6070,6070
,cloud,,,Starostin-2007-110-99,{},,облако [russian],99,,6071,6071
,far,,,Starostin-2007-110-100,{},,далекий [russian],100,,6072,6072
,big,,,Starostin-2007-110-101,{},,большой [russian],101,,6073,6073
,bark,,,Starostin-2007-110-102,{},,кора [russian],102,,6074,6074
,sand,,,Starostin-2007-110-103,{},,песок [russian],103,,6075,6075
,short,,,Starostin-2007-110-104,{},,короткий [russian],104,,6076,6076
,good,,,Starostin-2007-110-105,{},,хороший [russian],105,,6077,6077
,many,,,Starostin-2007-110-106,{},,много [russian],106,,6078,6078
,mountain,,,Starostin-2007-110-107,{},,гора [russian],107,,6079,6079
,wind,,,Starostin-2007-110-108,{},,ветер [russian],108,,6080,6080
,belly,,,Starostin-2007-110-109,{},,живот [russian],109,,6081,6081
,small,,,Starostin-2007-110-110,{},,маленький [russian],110,,6082,6082
